LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_DENSITY,DECISION_DENSITY,DESIGN_DENSITY,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_LEVEL,MAINTENANCE_SEVERITY,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_UNIQUE_OPERATORS,PERCENT_COMMENTS,Defective
6,9,2,1,0,0.2,2.0,0.6,1,0.0,3,32.54,9.5,2936.77,0.11,0.2,0.16,15,4.0,0
15,7,3,1,19,0.13,2.0,0.5,1,0.0,1,38.55,21.52,17846.19,0.05,0.25,0.06,27,39.22,1
27,9,1,4,22,0.15,2.0,0.6,1,0.0,0,52.03,12.33,7914.68,0.08,0.2,0.06,22,47.27,1
7,3,2,0,0,0.17,2.0,1.0,1,0.0,2,14.62,6.43,604.36,0.16,0.5,0.1,10,0.0,0
51,25,13,0,14,0.12,2.0,0.85,1,0.0,2,101.31,27.04,74089.87,0.04,0.08,0.08,20,11.67,0
3,5,2,0,0,0.2,2.0,1.0,1,0.0,1,8.17,18.0,2648.68,0.06,0.33,0.16,12,0.0,0
13,9,5,12,16,0.14,2.0,1.0,5,1.0,4,38.51,14.25,7820.87,0.07,1.0,0.07,15,52.83,0
22,29,0,8,35,0.28,2.75,0.07,3,0.14,0,61.1,22.3,30377.95,0.04,0.2,0.13,15,48.31,0
16,9,2,11,28,0.11,3.0,0.2,5,1.0,2,41.24,20.76,17773.08,0.05,1.0,0.06,19,53.42,0
4,3,0,2,4,0.17,2.0,0.5,1,0.0,1,15.9,9.0,1287.55,0.11,0.5,0.1,9,37.5,0
23,13,0,10,17,0.21,2.0,0.14,5,0.67,3,27.4,28.12,21659.58,0.04,0.71,0.09,17,54.0,0
23,13,0,10,17,0.21,2.0,0.14,5,0.67,3,17.45,27.22,12929.85,0.04,0.71,0.09,14,54.0,0
40,9,4,2,15,0.15,2.0,0.4,1,0.0,0,47.41,27.5,35852.6,0.04,0.2,0.06,22,35.42,0
23,9,6,3,20,0.19,2.0,0.4,1,0.0,0,43.1,15.2,9958.0,0.07,0.2,0.07,19,48.94,0
8,3,1,6,5,0.11,2.0,0.5,1,0.0,1,29.61,9.15,2480.95,0.11,0.5,0.06,14,45.83,0
19,3,1,2,0,0.06,2.0,1.0,1,0.0,0,64.01,11.65,8684.99,0.09,0.5,0.04,12,5.71,0
6,7,0,6,0,0.15,2.5,0.25,4,1.0,1,21.34,24.44,12748.97,0.04,1.0,0.12,22,22.22,0
134,60,9,63,31,0.17,2.38,0.56,6,0.13,5,101.81,54.82,305928.62,0.02,0.15,0.1,45,34.69,0
9,8,2,4,5,0.28,2.0,0.6,1,0.0,0,12.36,15.0,2781.99,0.07,0.2,0.15,15,39.13,0
164,110,26,37,191,0.18,2.37,0.66,27,0.38,1,157.03,97.73,1499684.32,0.01,0.39,0.09,69,38.71,0
27,24,11,3,48,0.16,2.43,0.77,7,0.5,1,60.5,32.21,62767.66,0.03,0.54,0.08,36,40.16,0
5,5,1,0,0,0.15,2.0,1.0,1,0.0,1,34.17,10.29,3620.93,0.1,0.33,0.12,14,0.0,0
7,9,3,4,5,0.16,2.33,0.6,3,0.5,0,24.71,21.86,11802.86,0.05,0.6,0.11,18,25.0,0
16,5,7,2,24,0.18,2.0,1.0,1,0.0,1,36.19,7.18,1867.89,0.14,0.33,0.05,13,63.41,0
15,7,3,3,8,0.25,2.0,1.0,1,0.0,0,26.75,11.03,3253.68,0.09,0.25,0.1,15,45.83,0
19,5,4,2,16,0.11,2.0,1.0,1,0.0,1,48.49,14.11,9649.29,0.07,0.33,0.04,19,41.86,0
19,7,5,5,10,0.15,2.0,1.0,4,1.0,1,28.43,13.42,5120.93,0.07,1.0,0.07,15,40.54,0
15,11,4,5,19,0.18,2.0,0.67,1,0.0,2,30.61,23.1,16332.07,0.04,0.17,0.08,21,46.15,0
13,3,1,3,18,0.1,2.0,1.0,1,0.0,2,25.62,24.42,15282.02,0.04,0.5,0.04,16,53.85,0
14,9,3,2,20,0.19,2.0,0.6,1,0.0,1,27.08,39.72,42716.37,0.03,0.2,0.07,21,47.83,0
12,9,4,2,12,0.13,2.0,1.0,1,0.0,1,54.44,19.25,20172.82,0.05,0.2,0.07,22,26.92,0
23,9,5,10,9,0.12,2.0,1.0,5,1.0,1,54.55,14.84,12009.6,0.07,1.0,0.07,18,38.0,0
155,71,5,14,170,0.18,2.1,0.7,21,0.56,1,127.7,71.54,653537.1,0.01,0.57,0.07,52,48.42,1
42,11,10,5,44,0.16,2.0,1.0,1,0.0,0,53.31,12.89,8852.8,0.08,0.17,0.05,17,60.49,0
30,19,5,6,45,0.13,2.0,0.9,8,0.78,1,46.15,27.11,33930.43,0.04,0.8,0.07,26,41.8,1
9,3,2,0,7,0.13,2.0,1.0,1,0.0,0,27.05,14.25,5493.37,0.07,0.5,0.06,19,31.82,1
26,17,4,5,32,0.13,2.33,0.67,4,0.38,2,97.49,20.91,42621.97,0.05,0.44,0.07,24,37.37,0
40,11,12,3,47,0.14,2.0,0.83,1,0.0,0,61.64,16.96,17733.62,0.06,0.17,0.05,21,54.95,0
7,7,2,0,8,0.16,2.0,0.25,1,0.0,0,31.67,15.0,7125.0,0.07,0.25,0.1,16,24.24,0
93,25,10,11,57,0.08,2.0,0.92,1,0.0,1,175.18,28.52,142535.33,0.04,0.08,0.04,24,32.22,1
9,5,3,2,2,0.16,2.0,1.0,1,0.0,0,36.74,14.57,7799.92,0.07,0.33,0.1,17,19.05,0
12,7,2,2,2,0.2,2.0,1.0,1,0.0,1,54.3,7.89,3382.91,0.13,0.25,0.11,13,18.18,0
31,11,5,7,30,0.15,2.0,0.83,1,0.0,0,53.63,18.46,18269.63,0.05,0.17,0.06,19,52.86,1
62,7,3,7,46,0.04,2.0,1.0,1,0.0,0,234.02,26.64,166113.93,0.04,0.25,0.02,24,36.55,1
36,13,5,6,14,0.14,2.0,1.0,1,0.0,0,78.96,22.12,38620.28,0.05,0.14,0.07,25,31.25,1
39,13,7,4,28,0.13,2.0,1.0,1,0.0,1,124.44,13.9,24028.83,0.07,0.14,0.06,20,40.0,0
77,19,6,4,31,0.08,2.0,1.0,1,0.0,1,208.02,26.3,143936.36,0.04,0.1,0.04,26,21.6,0
55,7,9,0,23,0.19,2.0,1.0,1,0.0,0,51.3,7.64,2991.43,0.13,0.25,0.04,12,52.27,0
17,23,2,0,34,0.18,2.1,0.67,3,0.18,0,108.84,15.19,25107.55,0.07,0.25,0.1,17,34.34,0
12,3,2,1,8,0.06,2.0,1.0,1,0.0,0,68.36,18.78,24116.87,0.05,0.5,0.04,18,21.95,0
13,9,7,1,20,0.21,2.0,1.0,1,0.0,0,30.19,7.85,1858.26,0.13,0.2,0.09,12,47.73,0
3,3,0,1,6,0.22,2.0,0.5,1,0.0,1,10.63,3.75,149.49,0.27,0.5,0.11,6,46.67,0
22,19,8,1,1,0.17,2.0,0.82,10,0.9,2,40.21,43.24,75169.98,0.02,0.91,0.13,28,3.08,0
12,7,4,1,0,0.17,2.0,1.0,4,1.0,2,30.25,10.71,3467.15,0.09,1.0,0.11,13,4.35,0
15,13,4,1,1,0.19,2.0,0.86,1,0.0,2,34.37,26.52,24176.72,0.04,0.14,0.13,19,5.26,0
5,3,1,1,2,0.08,2.0,1.0,1,0.0,2,56.67,6.13,2126.03,0.16,0.5,0.06,7,11.54,0
12,9,3,1,1,0.24,2.0,0.8,5,1.0,2,23.83,11.5,3151.22,0.09,1.0,0.14,14,9.09,0
9,7,3,4,0,0.19,2.0,1.0,4,1.0,2,26.81,10.4,2899.8,0.1,1.0,0.13,13,19.05,0
27,27,7,3,1,0.2,2.0,0.8,8,0.5,2,36.37,50.39,92350.98,0.02,0.53,0.14,33,5.19,0
7,3,1,4,1,0.2,2.0,1.0,1,0.0,2,16.39,3.5,200.76,0.29,0.5,0.11,7,45.45,0
10,7,5,5,1,0.18,2.0,0.75,1,0.0,2,31.11,12.06,4520.83,0.08,0.25,0.12,14,26.09,0
22,23,7,3,1,0.19,2.0,0.69,9,0.67,2,39.47,43.33,74124.42,0.02,0.69,0.14,30,5.88,0
3,7,1,0,0,0.2,2.5,0.5,4,1.0,1,13.47,16.0,3447.89,0.06,1.0,0.17,16,0.0,0
3,11,1,0,0,0.25,2.67,0.33,6,1.0,1,19.97,17.33,5999.58,0.06,1.0,0.21,16,0.0,0
3,11,1,0,0,0.25,2.67,0.33,6,1.0,1,19.97,17.33,5999.58,0.06,1.0,0.21,16,0.0,0
0,5,0,0,0,0.33,3.0,0.33,3,1.0,1,14.65,4.8,337.48,0.21,1.0,0.3,8,0.0,0
0,9,0,0,0,0.56,5.0,0.2,5,1.0,1,19.29,6.43,797.14,0.16,1.0,0.5,9,0.0,0
0,5,0,0,0,0.33,3.0,0.33,3,1.0,1,9.14,10.0,913.77,0.1,1.0,0.3,10,0.0,0
0,3,0,0,0,0.14,2.0,0.5,1,0.0,2,36.78,7.07,1838.97,0.14,0.5,0.13,11,0.0,0
39,9,8,9,14,0.07,2.0,1.0,1,0.0,8,97.85,22.12,47876.6,0.05,0.2,0.03,26,27.71,0
9,5,2,10,6,0.12,2.0,1.0,1,0.0,0,39.8,9.0,3223.83,0.11,0.33,0.07,12,50.0,0
4,3,2,0,4,0.17,2.0,1.0,1,0.0,1,23.34,6.11,871.59,0.16,0.5,0.1,11,25.0,0
3,3,0,0,0,0.15,2.0,0.5,1,0.0,2,18.1,9.63,1676.34,0.1,0.5,0.12,11,0.0,0
55,34,25,3,91,0.22,2.0,0.87,1,0.0,3,54.04,77.46,324260.81,0.01,0.03,0.11,50,41.41,1
5,3,3,0,13,0.13,2.0,1.0,1,0.0,3,21.16,9.1,1752.37,0.11,0.5,0.06,14,44.83,0
22,7,2,3,5,0.13,2.5,0.75,3,0.67,3,28.78,18.12,9456.28,0.06,0.75,0.07,25,22.86,0
19,9,2,3,15,0.15,2.33,0.8,4,0.75,3,35.02,17.25,10420.79,0.06,0.8,0.07,23,36.73,0
12,9,3,2,28,0.13,2.0,0.6,1,0.0,2,30.93,16.0,7919.03,0.06,0.2,0.06,20,44.78,0
5,7,1,0,6,0.15,2.5,0.5,3,0.67,2,38.77,13.2,6756.06,0.08,0.75,0.11,16,18.75,0
6,11,1,0,8,0.18,2.0,0.5,1,0.0,2,59.16,12.6,9398.15,0.08,0.17,0.12,17,19.05,0
21,13,5,2,30,0.21,2.2,0.71,1,0.0,1,26.31,23.5,14529.3,0.04,0.14,0.08,15,50.79,0
7,3,0,0,0,0.13,2.0,0.5,1,0.0,2,37.54,7.6,2168.23,0.13,0.5,0.09,12,0.0,0
10,7,2,6,12,0.19,2.0,1.0,4,1.0,2,18.1,16.36,4845.73,0.06,1.0,0.09,15,54.55,0
53,57,13,45,13,0.17,2.0,0.93,7,0.21,0,91.32,55.88,285170.84,0.02,0.24,0.11,34,30.85,0
12,7,8,3,3,0.12,2.0,1.0,1,0.0,0,30.45,20.71,13065.14,0.05,0.25,0.08,15,16.67,0
10,11,8,4,0,0.16,2.0,1.0,1,0.0,0,64.31,12.0,9260.02,0.08,0.17,0.12,12,10.53,0
47,15,7,27,28,0.1,2.0,0.67,1,0.0,1,47.3,45.77,99082.56,0.02,0.11,0.06,35,48.25,0
7,7,1,11,30,0.15,2.0,0.25,1,0.0,6,18.87,19.62,7260.95,0.05,0.25,0.06,15,71.93,0
33,23,1,5,95,0.17,2.0,0.08,1,0.0,4,79.18,42.02,139798.54,0.02,0.08,0.06,19,60.61,0
46,39,6,20,96,0.18,2.19,0.2,9,0.42,1,72.67,51.47,192513.32,0.02,0.45,0.08,28,56.04,1
5,5,3,0,3,0.15,2.0,1.0,1,0.0,0,38.85,12.28,5856.79,0.08,0.33,0.1,17,13.04,0
9,19,0,6,6,0.16,2.0,0.1,5,0.44,3,30.99,33.52,34816.7,0.03,0.5,0.13,21,17.14,1
17,29,0,19,53,0.22,2.27,0.07,9,0.57,2,50.79,25.26,32401.84,0.04,0.6,0.11,21,59.02,0
1,5,0,0,0,0.25,2.0,0.33,1,0.0,2,21.83,10.42,2369.07,0.1,0.33,0.21,10,0.0,0
24,33,7,13,55,0.16,2.14,0.35,7,0.38,1,56.02,48.06,129374.54,0.02,0.41,0.09,35,42.24,0
24,37,6,0,18,0.28,2.6,0.68,19,1.0,0,73.61,37.75,104901.75,0.03,1.0,0.17,32,20.69,0
4,5,0,1,0,0.18,2.0,0.33,3,1.0,2,13.72,10.56,1531.0,0.09,1.0,0.14,13,5.88,0
5,5,0,0,0,0.15,2.0,0.33,1,0.0,2,10.03,14.67,2158.18,0.07,0.33,0.12,11,0.0,0
26,28,16,20,119,0.1,2.33,0.76,10,0.56,1,133.35,38.57,198396.43,0.03,0.59,0.05,36,47.44,0
6,31,3,1,19,0.22,2.25,0.44,9,0.53,6,86.16,18.26,28729.02,0.05,0.56,0.16,22,21.74,0
21,31,10,13,50,0.13,2.13,0.72,1,0.0,3,77.8,40.25,126046.47,0.02,0.06,0.07,46,33.51,0
6,9,2,0,17,0.17,2.0,0.4,1,0.0,2,27.4,20.78,11829.84,0.05,0.2,0.09,17,36.96,0
8,5,1,1,11,0.16,2.0,0.33,1,0.0,4,35.6,12.89,5919.2,0.08,0.33,0.05,14,40.0,0
17,21,7,0,8,0.2,2.25,0.73,5,0.4,4,48.89,26.83,35190.17,0.04,0.45,0.14,25,12.7,0
14,5,2,0,39,0.06,2.0,0.33,1,0.0,2,59.87,15.65,14671.27,0.06,0.33,0.02,21,45.35,0
10,11,2,2,14,0.18,2.0,0.33,4,0.6,1,21.82,22.85,11393.4,0.04,0.67,0.1,21,33.33,0
2,5,4,0,2,0.14,2.0,1.0,1,0.0,2,34.56,8.63,2570.73,0.12,0.33,0.12,12,8.7,0
4,3,0,0,1,0.14,2.0,0.5,1,0.0,3,12.74,7.86,786.33,0.13,0.5,0.1,11,6.67,0
6,5,6,0,6,0.14,2.0,1.0,1,0.0,2,40.4,11.25,5113.63,0.09,0.33,0.09,15,22.22,0
9,5,4,0,11,0.11,2.0,0.67,1,0.0,1,36.57,15.24,8490.44,0.07,0.33,0.06,20,28.21,1
2,3,3,0,9,0.11,2.0,1.0,1,0.0,1,32.0,11.63,4329.68,0.09,0.5,0.07,17,33.33,0
3,6,5,2,13,0.11,2.0,1.0,1,0.0,0,48.31,17.63,15014.65,0.06,0.25,0.07,17,29.41,0
22,58,13,12,33,0.19,2.17,0.63,7,0.19,3,151.5,22.73,78244.98,0.04,0.22,0.14,29,21.95,0
10,37,12,0,62,0.13,2.0,0.9,1,0.0,0,171.78,29.58,150305.78,0.03,0.05,0.09,32,29.38,1
42,141,24,45,339,0.16,2.25,0.56,30,0.4,7,293.68,43.41,553518.63,0.02,0.41,0.13,48,48.3,1
16,29,5,3,29,0.12,2.08,0.8,3,0.14,0,164.09,23.26,88801.93,0.04,0.2,0.09,24,20.92,1
0,3,0,0,0,0.15,2.0,0.5,1,0.0,0,21.15,3.5,259.02,0.29,0.5,0.14,7,0.0,0
2,49,8,33,58,0.16,2.14,0.36,12,0.46,0,104.25,54.33,307757.08,0.02,0.48,0.11,36,41.55,0
4,9,0,0,0,0.25,2.0,0.2,1,0.0,1,13.75,21.0,6065.91,0.05,0.2,0.2,16,0.0,0
0,11,3,2,20,0.21,3.5,0.33,1,0.0,0,38.41,13.45,6946.75,0.07,0.17,0.12,20,44.9,0
8,19,4,6,7,0.19,2.29,0.7,9,0.89,0,105.02,18.86,37359.42,0.05,0.9,0.14,21,21.67,0
10,5,9,2,18,0.17,2.0,0.67,1,0.0,1,45.77,7.71,2723.97,0.13,0.33,0.04,12,55.56,0
15,7,4,0,21,0.1,2.0,1.0,1,0.0,7,61.36,23.68,34405.27,0.04,0.25,0.05,17,33.87,0
4,3,0,3,0,0.12,2.0,0.5,1,0.0,2,16.29,9.29,1404.34,0.11,0.5,0.09,10,17.65,0
4,3,0,3,0,0.12,2.0,0.5,1,0.0,2,16.29,9.29,1404.34,0.11,0.5,0.09,10,17.65,0
12,5,4,0,39,0.11,2.0,0.33,1,0.0,1,61.85,12.04,8964.95,0.08,0.33,0.04,15,59.09,0
3,3,2,6,6,0.07,2.0,1.0,1,0.0,2,22.83,23.0,12075.0,0.04,0.5,0.04,16,36.36,0
0,5,1,0,5,0.19,3.0,0.67,3,1.0,4,24.32,7.64,1418.49,0.13,1.0,0.14,14,23.81,0
10,17,3,12,20,0.13,2.0,0.33,1,0.0,4,52.18,33.32,57931.89,0.03,0.11,0.07,23,36.78,0
6,9,3,10,22,0.16,2.0,0.4,1,0.0,7,27.26,22.11,13319.21,0.05,0.2,0.08,20,59.26,0
2,23,10,14,78,0.13,2.1,0.5,4,0.27,7,89.42,13.73,16858.82,0.07,0.33,0.07,17,53.8,1
6,47,2,1,58,0.18,2.0,0.96,1,0.0,1,171.89,27.21,127275.78,0.04,0.04,0.12,32,29.95,0
0,7,9,1,23,0.17,2.5,1.0,1,0.0,0,34.26,11.57,4586.97,0.09,0.25,0.08,18,51.06,0
0,19,5,4,15,0.2,2.0,0.46,1,0.0,1,66.12,13.9,12780.02,0.07,0.08,0.16,20,24.05,0
1,9,4,1,0,0.15,2.0,0.6,1,0.0,0,27.2,13.24,4764.71,0.08,0.2,0.14,15,3.03,0
1,5,5,0,11,0.11,2.0,1.0,1,0.0,2,47.22,11.69,6449.49,0.09,0.33,0.07,17,28.21,0
1,7,5,0,12,0.1,2.0,0.75,3,0.67,0,56.52,13.19,9840.36,0.08,0.75,0.06,19,22.64,1
1,3,4,0,3,0.11,2.0,1.0,1,0.0,2,33.23,9.41,2943.55,0.11,0.5,0.08,16,13.64,0
2,3,4,0,3,0.11,2.0,1.0,1,0.0,2,31.71,8.91,2515.03,0.11,0.5,0.08,15,13.64,0
2,7,7,3,35,0.1,2.5,0.25,3,0.67,3,60.5,14.75,13163.37,0.07,0.75,0.05,19,50.0,0
14,3,14,0,7,0.05,2.0,1.0,1,0.0,1,93.81,15.69,23101.5,0.06,0.5,0.03,17,14.58,0
5,3,9,0,6,0.07,2.0,1.0,1,0.0,0,58.05,14.68,12512.17,0.07,0.5,0.05,17,16.67,0
10,29,8,2,65,0.1,2.0,0.4,11,0.71,6,118.83,46.92,261640.64,0.02,0.73,0.07,31,31.02,0
0,3,4,0,6,0.11,2.0,1.0,1,0.0,2,31.58,9.5,2850.0,0.11,0.5,0.08,16,24.0,0
12,37,12,23,65,0.13,2.14,0.5,9,0.42,1,83.0,51.6,220979.91,0.02,0.45,0.09,38,40.37,1
6,15,6,6,7,0.14,2.0,0.78,1,0.0,7,45.05,29.27,38588.27,0.03,0.11,0.12,32,18.57,1
1,3,4,0,6,0.05,2.0,1.0,1,0.0,0,94.81,13.88,18268.21,0.07,0.5,0.04,18,12.5,0
1,3,2,6,13,0.1,2.0,0.5,1,0.0,1,28.66,11.47,3771.09,0.09,0.5,0.06,13,57.58,0
1,3,5,0,12,0.09,2.0,1.0,1,0.0,1,36.77,11.48,4842.06,0.09,0.5,0.06,17,35.29,0
0,5,0,0,9,0.11,2.0,0.33,1,0.0,2,54.96,8.31,3793.04,0.12,0.33,0.08,12,25.0,0
1,9,0,1,4,0.16,2.0,0.2,1,0.0,2,14.28,19.94,5674.43,0.05,0.2,0.13,11,13.89,0
5,19,5,7,39,0.07,2.13,0.8,8,0.78,18,124.12,29.01,104460.67,0.03,0.8,0.06,24,26.59,0
3,9,3,6,4,0.09,2.0,1.0,1,0.0,8,102.23,12.09,14944.77,0.08,0.2,0.08,14,16.95,1
13,7,4,1,5,0.09,2.0,1.0,1,0.0,0,99.18,16.49,26973.57,0.06,0.25,0.06,20,11.76,0
67,29,10,27,41,0.13,2.0,1.0,15,1.0,2,46.37,57.0,150670.96,0.02,1.0,0.07,19,42.5,0
9,7,0,7,11,0.16,2.0,0.25,4,1.0,4,24.0,15.38,5680.1,0.07,1.0,0.09,16,50.0,0
15,11,4,9,22,0.13,2.0,1.0,1,0.0,3,46.84,21.46,21576.47,0.05,0.17,0.07,19,46.27,0
6,5,1,4,0,0.12,2.0,1.0,1,0.0,0,24.31,14.06,4807.12,0.07,0.33,0.09,15,15.38,0
21,7,4,10,22,0.1,2.0,0.5,1,0.0,2,45.35,25.34,29117.23,0.04,0.25,0.05,25,51.61,0
9,7,1,6,10,0.18,2.0,0.5,1,0.0,0,22.84,25.89,15315.78,0.04,0.25,0.1,24,50.0,0
10,7,1,7,10,0.18,2.0,0.5,1,0.0,0,22.84,25.89,15315.78,0.04,0.25,0.09,24,53.13,0
46,19,8,35,31,0.13,2.0,0.8,1,0.0,0,83.37,31.3,81653.73,0.03,0.1,0.07,27,62.26,0
33,11,5,18,28,0.1,2.0,0.67,1,0.0,2,71.49,34.84,86774.3,0.03,0.17,0.05,32,51.11,0
10,9,1,5,0,0.14,2.0,1.0,1,0.0,0,44.36,16.56,12163.87,0.06,0.2,0.11,12,13.89,0
25,11,4,11,21,0.18,2.0,0.5,1,0.0,2,25.24,19.95,10047.02,0.05,0.17,0.08,21,59.26,0
9,7,4,2,13,0.18,2.0,1.0,1,0.0,0,46.13,14.44,9617.77,0.07,0.25,0.09,19,42.86,0
10,3,2,2,4,0.07,2.0,1.0,1,0.0,1,48.82,16.55,13373.72,0.06,0.5,0.05,15,19.35,0
6,3,1,5,4,0.13,2.0,0.5,1,0.0,4,21.05,9.8,2021.97,0.1,0.5,0.08,14,47.37,0
